Period,Revenue_from_Operations_Lakhs,EBITDA_Lakhs,PAT_Lakhs,EBITDA_Margin_Pct,PAT_Margin_Pct,Gross_Margin_Pct,ROE_Pct,ROCE_Pct,Debt_Equity_Ratio,Total_Borrowings_Lakhs,Net_Worth_Lakhs,Total_Income_Lakhs
FY2023,10891.16,2421.98,1453.06,22.0,13.2,30.51,48.44,14.88,3.28,12214.76,3723.97,11008.31
FY2024,11076.76,1672.23,786.88,14.59,6.87,28.83,19.12,9.85,2.67,12022.65,4507.1,11461.38
FY2025,19237.53,3377.35,2042.59,17.21,10.41,27.56,36.96,13.75,2.7,17696.99,6544.39,19621.88
H1_FY2026,12415.85,1891.56,1152.54,15.12,9.21,27.42,7.27,6.21,0.19,4857.33,25173.35,12513.79
